City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,gudur,14.1333,79.85,69.49,90,1,2.59,IN,1677632284
126,port elizabeth,-33.918,25.5701,72.1,99,37,5.01,ZA,1677632295
127,constitucion,-35.3333,-72.4167,60.17,75,0,14.41,CL,1677632305
128,faya,18.3851,42.4509,55.51,55,2,3.0,SA,1677632311
129,hithadhoo,-0.6,73.0833,81.86,68,100,14.45,MV,1677632316
130,linjiang,41.8069,126.9078,29.91,69,55,4.76,CN,1677632321
131,geraldton,-28.7667,114.6,82.81,54,75,6.91,AU,1677632123
132,nalut,30.3333,10.85,53.51,37,52,5.5,LY,1677632332
133,mazatlan,23.2167,-106.4167,69.91,80,100,8.01,MX,1677632337
134,sri aman,1.2376,111.4621,73.45,100,40,0.0,MY,1677632342
135,nuuk,64.1835,-51.7216,20.32,94,100,15.41,GL,1677632348
136,zhezkazgan,47.8043,67.7144,19.38,93,40,6.71,KZ,1677632353
137,vila velha,-20.3297,-40.2925,80.55,88,40,4.61,BR,1677632358
138,naze,28.3667,129.4833,63.52,51,27,7.27,JP,1677632364
139,souillac,-20.5167,57.5167,75.58,88,20,0.0,MU,1677632369
140,sarakhs,36.5449,61.1577,48.81,43,0,6.31,IR,1677632374
141,dwarka,22.2394,68.9678,72.75,71,0,6.44,IN,1677632385
142,ancud,-41.8697,-73.8203,54.77,91,6,4.36,CL,1677632390
143,rawson,-43.3002,-65.1023,79.02,29,0,12.53,AR,1677632395
144,ossora,59.2353,163.0719,-1.93,86,100,1.9,RU,1677632401
145,maibong,25.3,93.1667,59.81,54,0,0.38,IN,1677632406
146,ostrovnoy,68.0531,39.5131,27.68,84,100,17.0,RU,1677632412
147,guiratinga,-16.3494,-53.7583,75.18,80,99,2.73,BR,1677632418
148,nome,64.5011,-165.4064,16.16,92,100,27.63,US,1677632326
149,kimbe,-5.5502,150.1429,78.39,90,100,3.83,PG,1677632428
150,navahrudak,53.6,25.8333,27.79,94,100,12.55,BY,1677632433
151,kavaratti,10.5669,72.642,80.87,68,10,7.65,IN,1677632439
152,dingle,10.9995,122.6711,80.53,81,69,12.21,PH,1677632444
153,laxou,48.6832,6.148,32.5,70,0,9.22,FR,1677632449
154,sines,37.9562,-8.8698,44.29,73,6,10.49,PT,1677632455
155,barrancas,10.9576,-72.7877,75.99,78,3,3.27,CO,1677632460
156,la orilla,17.9833,-102.2333,76.21,70,5,4.21,MX,1677632465
157,cabo san lucas,22.8909,-109.9124,73.62,62,33,5.73,MX,1677632402
158,tuatapere,-46.1333,167.6833,65.48,58,96,8.97,NZ,1677632476
159,tilichiki,60.4667,166.1,-13.56,88,6,6.29,RU,1677632482
160,saint george,37.1041,-113.5841,48.79,43,100,9.22,US,1677632423
161,beringovskiy,63.05,179.3167,-2.16,79,100,17.56,RU,1677632492
162,taltal,-25.4,-70.4833,68.9,81,4,5.14,CL,1677632497
163,lingao,19.9103,109.6859,67.95,74,30,8.7,CN,1677632503
164,talaya,61.3833,152.75,-17.97,86,100,6.4,RU,1677632508
165,great yarmouth,52.6083,1.7305,41.25,87,100,10.71,GB,1677632513
166,arraial do cabo,-22.9661,-42.0278,75.61,89,22,12.5,BR,1677632456
167,olafsvik,64.8945,-23.7142,40.19,70,69,20.45,IS,1677632529
168,lebu,-37.6167,-73.65,60.06,80,0,16.93,CL,1677632534
169,kenai,60.5544,-151.2583,17.1,89,100,4.61,US,1677632540
170,ryotsu,38.0833,138.4333,52.39,74,39,16.69,JP,1677632545
171,bangkal,6.0667,121.0667,82.96,69,10,1.74,PH,1677632551
172,mahad,18.0833,73.4167,73.56,29,0,3.38,IN,1677632557
173,nohfelden,49.5869,7.1428,29.91,77,5,8.43,DE,1677632562
174,mkushi,-13.6202,29.3939,62.76,98,100,7.25,ZM,1677632567
175,camacha,33.0833,-16.3333,56.62,88,20,2.3,PT,1677632573
176,altay,47.8667,88.1167,14.76,56,0,7.63,CN,1677632578
177,port alfred,-33.5906,26.891,70.18,97,52,1.99,ZA,1677632583
178,anshun,26.25,105.9333,46.17,82,100,7.96,CN,1677632589
179,belomorsk,64.5232,34.7668,19.99,85,16,13.0,RU,1677632594
180,kahului,20.8947,-156.47,75.97,77,23,14.0,US,1677632600
181,egvekinot,66.3167,-179.1667,-15.63,87,94,17.38,RU,1677632605
182,bredasdorp,-34.5322,20.0403,64.4,86,36,3.56,ZA,1677632611
183,conde,-7.2597,-34.9075,78.26,83,20,5.75,BR,1677632616
184,oudtshoorn,-33.5907,22.2014,66.56,76,100,4.32,ZA,1677632621
185,katsuura,35.1333,140.3,59.41,54,100,23.58,JP,1677632626
186,muros,42.7762,-9.0603,46.09,68,13,11.74,ES,1677632632
187,labuhan,-6.8844,112.2051,78.12,82,100,7.25,ID,1677632637
188,altamira,-3.2033,-52.2064,73.99,93,99,2.75,BR,1677632642
189,lasa,46.6166,10.7002,31.03,79,8,2.01,IT,1677632648
190,henties bay,-22.116,14.2845,63.05,93,22,4.74,NA,1677632653
191,bandarbeyla,9.4942,50.8122,75.65,82,25,6.2,SO,1677632659
192,viedma,-40.8135,-62.9967,80.17,40,40,15.37,AR,1677632664
193,te anau,-45.4167,167.7167,55.98,91,100,3.96,NZ,1677632670
194,rocha,-34.4833,-54.3333,72.18,65,72,7.65,UY,1677632472
195,tucuma,-0.1833,-50.05,75.96,93,100,5.61,BR,1677632680
196,mattru,7.6244,-11.8332,73.53,93,0,2.51,SL,1677632686
197,svetlaya,46.5389,138.3297,29.03,62,24,3.53,RU,1677632691
198,domoni,-12.2569,44.5319,78.3,85,87,3.31,KM,1677632696
199,pevek,69.7008,170.3133,-30.5,98,100,7.45,RU,1677632701
200,punta alta,-38.8759,-62.0736,81.37,47,20,23.02,AR,1677632707
201,aqtobe,50.2797,57.2072,32.09,100,100,13.42,KZ,1677632712
202,ojinaga,29.5667,-104.4167,76.41,16,0,3.44,MX,1677632718
203,namibe,-15.1961,12.1522,73.45,84,100,6.06,AO,1677632723
204,kathmandu,27.7167,85.3167,52.02,87,40,3.44,NP,1677632728
205,brae,60.3964,-1.353,44.13,72,100,14.65,GB,1677632600
206,mayo,38.8876,-76.5119,51.96,86,0,3.44,US,1677632739
207,georgetown,5.4112,100.3354,78.73,93,20,4.61,MY,1677632686
208,luena,-11.7833,19.9167,60.8,98,100,4.59,AO,1677632666
209,tasiilaq,65.6145,-37.6368,32.16,85,13,3.04,GL,1677632755
210,bongandanga,1.5,21.05,70.03,80,88,2.89,CD,1677632760
211,baldone,56.7428,24.3944,33.71,95,100,5.64,LV,1677632770
212,rosarito,32.3333,-117.0333,56.35,69,7,11.23,MX,1677632776
213,atambua,-9.1061,124.8925,75.02,92,100,5.77,ID,1677632786
214,gumdag,39.2061,54.5906,50.85,45,20,3.24,TM,1677632792
215,sao filipe,14.8961,-24.4956,71.02,72,28,6.78,CV,1677632797
216,zschopau,50.75,13.0667,21.67,87,100,4.16,DE,1677632802
217,novoanninskiy,50.5287,42.6747,26.49,88,100,15.1,RU,1677632808
218,sergach,55.5308,45.4661,13.89,97,88,9.17,RU,1677632813
219,qaqortoq,60.7167,-46.0333,18.91,77,100,10.92,GL,1677632818
220,vawkavysk,53.1561,24.4513,29.77,81,100,11.92,BY,1677632824
221,shatrovo,56.5167,64.6333,15.28,91,80,10.04,RU,1677632829
222,kasama,-10.2129,31.1808,61.03,97,100,2.19,ZM,1677632834
223,cockburn town,21.4612,-71.1419,75.97,70,3,10.0,TC,1677632840
224,sillamae,59.3997,27.7547,28.2,83,6,16.49,EE,1677632845
225,abu kamal,34.4506,40.9171,57.61,48,0,5.7,SY,1677632851
226,aruppukkottai,9.5167,78.1,77.43,84,98,11.81,IN,1677632856
227,bengkulu,-3.8004,102.2655,76.01,89,88,3.04,ID,1677632627
228,torbay,47.6666,-52.7314,14.58,70,75,13.8,CA,1677632602
229,angoche,-16.2325,39.9086,77.0,86,100,9.31,MZ,1677632871
230,baykit,61.67,96.37,13.75,97,100,0.87,RU,1677632877
231,sao miguel do araguaia,-13.275,-50.1628,74.05,87,99,5.08,BR,1677632882
232,tuktoyaktuk,69.4541,-133.0374,-23.8,76,20,8.05,CA,1677632611
233,houma,29.5958,-90.7195,75.0,83,0,4.61,US,1677632893
234,kirakira,-10.4544,161.9205,83.21,85,100,23.29,SB,1677632903
235,ballitoville,-29.539,31.2144,74.25,90,0,2.62,ZA,1677632908
236,devonport,-41.1667,146.35,66.09,50,0,11.48,AU,1677632914
237,fukue,32.6881,128.8419,60.48,69,100,15.3,JP,1677632924
238,grand gaube,-20.0064,57.6608,75.38,79,12,1.99,MU,1677632929
239,mpraeso,6.5932,-0.7346,73.31,83,62,3.53,GH,1677632935
240,pangody,65.85,74.4859,-1.08,98,100,6.24,RU,1677632940
241,kapit,2.0167,112.9333,74.39,98,100,1.92,MY,1677632945
242,oussouye,12.485,-16.5469,75.67,38,5,4.59,SN,1677632951
243,beyneu,45.3167,55.2,42.55,77,100,10.56,KZ,1677632956
244,deputatskiy,69.3,139.9,-21.84,97,100,0.98,RU,1677632961
245,clyde river,70.4692,-68.5914,-24.39,92,12,3.65,CA,1677632967
246,sorong,-0.8833,131.25,83.43,72,90,8.81,ID,1677632972
247,douglas,41.3,-96.167,42.51,74,0,9.22,US,1677632879
248,klaksvik,62.2266,-6.589,45.52,87,96,14.32,FO,1677632983
249,warri,5.5167,5.75,80.31,86,99,4.68,NG,1677632988
250,aykhal,66.0,111.5,-19.16,100,100,4.76,RU,1677632994
251,aldan,58.6031,125.3894,2.19,90,100,17.54,RU,1677632999
252,palana,59.1167,159.9667,8.04,88,100,4.97,RU,1677633004
253,lorengau,-2.0226,147.2712,84.15,75,100,15.41,PG,1677633010
254,caravelas,-17.7125,-39.2481,76.44,86,29,4.54,BR,1677632844
255,dombas,62.0696,9.1235,27.05,86,88,7.27,NO,1677633020
256,vestmannaeyjar,63.4427,-20.2734,42.91,70,19,10.47,IS,1677633026
257,padang,-0.9492,100.3543,75.25,85,100,2.59,ID,1677633031
258,sarangani,5.4033,125.4636,81.14,78,19,16.96,PH,1677633037
259,nikolskoye,59.7035,30.7861,26.49,87,80,10.22,RU,1677633042
260,formosa,-26.1775,-58.1781,79.97,68,1,1.99,AR,1677633048
261,saravan,39.7196,45.6483,31.51,51,17,6.33,AM,1677633053
262,hami,42.8,93.45,33.67,26,8,2.51,CN,1677633058
263,rumoi,43.9344,141.6428,34.23,80,100,11.45,JP,1677633069
264,agirish,61.9247,63.0231,14.99,90,54,9.26,RU,1677633074
265,ahipara,-35.1667,173.1667,72.43,59,0,5.19,NZ,1677633080
266,smolenka,52.1352,113.4974,3.27,72,19,2.24,RU,1677633085
267,swan river,52.1058,-101.2676,4.57,93,99,6.29,CA,1677633090
268,kavieng,-2.5744,150.7967,79.59,84,100,6.98,PG,1677633096
269,along,28.1667,94.7667,54.86,69,0,2.57,IN,1677633101
270,leua,48.2156,18.6071,36.5,69,72,4.88,SK,1677633106
271,arlit,18.7369,7.3853,72.68,11,88,7.18,NE,1677633112
272,hasaki,35.7333,140.8333,61.29,48,100,16.2,JP,1677633117
273,sambava,-14.2667,50.1667,74.41,89,19,6.89,MG,1677633122
274,concepcion del oro,24.6333,-101.4167,67.98,16,100,6.98,MX,1677632878
275,palmas bellas,9.2319,-80.0867,76.91,84,48,7.07,PA,1677633133
276,ahuimanu,21.4447,-157.8378,78.51,74,40,18.41,US,1677633138
277,fortuna,40.5982,-124.1573,43.14,83,98,9.01,US,1677633144
278,wad madani,14.4012,33.5199,79.34,17,68,13.76,SD,1677632952
279,mangan,27.5167,88.5333,55.2,46,1,6.31,IN,1677633154
280,stawell,-37.05,142.7667,66.47,52,55,12.46,AU,1677633165
281,taihe,30.8712,105.3845,56.52,37,100,9.73,CN,1677633170
282,stulovo,58.7225,50.1439,14.45,95,100,7.11,RU,1677633175
283,khandbari,27.3747,87.2039,54.52,51,2,3.65,NP,1677633181
284,chimbote,-9.0853,-78.5783,74.93,73,99,7.7,PE,1677633186
285,grindavik,63.8424,-22.4338,39.67,81,40,11.5,IS,1677633191
286,kumluca,36.3703,30.2869,63.55,40,28,5.53,TR,1677633197
287,padra,22.2333,73.0833,64.49,82,0,3.44,IN,1677633202
288,boulder city,35.9786,-114.8325,53.44,30,40,12.66,US,1677633099
289,harper,4.375,-7.7169,79.65,85,66,5.57,LR,1677633213
290,maceio,-9.6658,-35.7353,78.24,88,20,2.3,BR,1677633218
291,mahebourg,-20.4081,57.7,75.25,76,3,6.35,MU,1677633223
292,sao joao da barra,-21.6403,-41.0511,75.6,89,0,7.72,BR,1677633229
293,vanimo,-2.6741,141.3028,80.82,79,99,7.34,PG,1677633234
294,puerto escondido,15.85,-97.0667,81.43,69,0,0.0,MX,1677633239
295,talcahuano,-36.7167,-73.1167,64.08,63,0,12.66,CL,1677633245
296,kanye,-24.9667,25.3327,65.03,51,7,4.21,BW,1677633250
297,baiyin,36.5583,104.2081,29.61,66,99,2.15,CN,1677633256
298,lypnyazhka,48.4469,31.0761,27.95,81,5,7.76,UA,1677633017
299,smithers,54.7804,-127.1743,25.18,91,75,1.54,CA,1677633266
300,salalah,17.0151,54.0924,69.89,73,0,2.3,OM,1677633272
301,noyabrsk,63.1994,75.4507,20.05,94,100,16.91,RU,1677633277
302,huntington,38.4193,-82.4452,52.7,72,0,8.05,US,1677633236
303,kikwit,-5.041,18.8162,69.57,95,98,0.87,CD,1677633292
304,nemuro,43.3236,145.575,36.5,79,4,10.45,JP,1677633298
305,sakakah,29.9697,40.2064,56.21,31,0,4.92,SA,1677633284
306,neiafu,-18.65,-173.9833,84.88,84,40,8.05,TO,1677633308
307,kautokeino,69.0125,23.0412,11.03,95,99,1.66,NO,1677633314
308,tromso,69.6496,18.957,35.38,93,75,3.44,NO,1677633319
309,nanortalik,60.1432,-45.2371,21.04,77,100,9.28,GL,1677633325
310,bratsk,56.1325,101.6142,19.89,80,100,11.86,RU,1677633330
311,alta floresta,-9.8756,-56.0861,73.44,92,98,2.26,BR,1677633336
312,leningradskiy,69.3833,178.4167,-21.84,94,94,6.49,RU,1677633341
313,shenjiamen,29.9576,122.298,52.07,86,100,10.92,CN,1677633346
314,talnakh,69.4865,88.3972,9.21,80,85,7.87,RU,1677633352
315,dzhebariki-khaya,62.2167,135.8,-13.86,95,100,3.96,RU,1677633357
316,milan,45.4643,9.1895,41.02,81,75,3.44,IT,1677633362
317,adrar,20.5022,-10.0711,63.23,39,0,10.11,MR,1677633368
318,synya,65.3718,58.0387,-0.49,95,98,5.7,RU,1677633373
319,burnie,-41.0667,145.9167,64.94,57,34,12.19,AU,1677633379
320,les cayes,18.2,-73.75,73.65,73,1,4.5,HT,1677633384
321,acapulco,16.8634,-99.8901,82.22,61,40,5.75,MX,1677633347
322,port lincoln,-34.7333,135.8667,66.92,62,94,11.43,AU,1677633395
323,saint anthony,45.0205,-93.218,36.55,61,100,8.05,US,1677633400
324,ucluelet,48.9329,-125.5528,42.1,72,7,1.01,CA,1677633325
325,santa monica,34.0195,-118.4912,56.93,73,100,13.8,US,1677633324
326,victor harbor,-35.5667,138.6167,68.0,73,17,3.0,AU,1677633415
327,thompson,55.7435,-97.8558,-3.84,77,75,6.91,CA,1677633353
328,trapani,37.8333,12.6667,43.9,77,0,5.7,IT,1677633339
329,ruteng,-8.6136,120.4721,69.85,72,100,4.65,ID,1677633431
330,san lorenzo,-25.3333,-57.5333,77.94,78,75,0.0,PY,1677633436
331,pascagoula,30.3658,-88.5561,75.72,91,75,6.91,US,1677633283
332,christchurch,-43.5333,172.6333,73.33,68,97,19.57,NZ,1677633439
333,abu zabad,12.35,29.25,73.58,15,11,13.69,SD,1677633452
334,byron bay,-28.65,153.6167,88.95,58,0,12.77,AU,1677633457
335,rodez,44.5,2.5833,30.51,80,40,5.75,FR,1677633463
336,murashi,59.3999,48.9615,12.29,94,100,7.92,RU,1677633468
337,lubumbashi,-11.6609,27.4794,61.61,98,100,2.84,CD,1677633226
338,mahibadhoo,3.7833,72.9667,80.98,76,50,14.67,MV,1677633478
339,portmore,17.9702,-76.8672,73.02,80,0,2.55,JM,1677633185
340,sisimiut,66.9395,-53.6735,5.95,94,100,11.3,GL,1677633489
341,leshukonskoye,64.8989,45.7622,4.62,95,100,6.53,RU,1677633494
342,griffith,41.5284,-87.4237,44.53,68,0,8.05,US,1677633500
343,tecoanapa,16.5167,-98.75,78.87,72,7,4.29,MX,1677633505
344,kysyl-syr,63.8986,122.7617,-5.87,97,100,3.49,RU,1677633511
345,cabedelo,-6.9811,-34.8339,79.47,76,15,10.38,BR,1677633516
346,owando,-0.4819,15.8999,72.86,86,100,1.99,CG,1677633521
347,bukan,36.521,46.2089,36.36,54,38,3.96,IR,1677633527
348,normandin,48.8333,-72.5321,19.71,93,100,16.11,CA,1677633532
349,cortez,37.3489,-108.5859,34.56,51,100,4.61,US,1677633520
350,olinda,-8.0089,-34.8553,82.13,69,40,8.05,BR,1677633542
351,tambacounda,13.7539,-13.7586,84.25,20,0,4.61,SN,1677633548
352,torzhok,57.0436,34.9622,18.61,90,84,10.78,RU,1677633553
353,east wenatchee bench,47.4257,-120.2812,39.58,73,0,3.0,US,1677633558
354,shar,49.5886,81.0453,14.97,78,98,18.34,KZ,1677633564
355,weligama,5.9667,80.4167,74.59,87,99,9.89,LK,1677633569
356,vinh long,10.25,105.9667,78.78,61,18,4.76,VN,1677633575
357,iqaluit,63.7506,-68.5145,-29.47,68,20,5.75,CA,1677633580
358,nago,26.5881,127.9761,68.45,57,0,7.94,JP,1677633586
359,yulara,-25.2406,130.9889,84.36,27,28,21.83,AU,1677633591
360,dickinson,29.4608,-95.0513,76.12,85,20,9.22,US,1677633596
361,bowen,-20.0167,148.2333,79.86,63,12,5.08,AU,1677633602
362,laredo,27.5064,-99.5075,89.89,33,0,8.05,US,1677633567
363,cherskiy,68.75,161.3,-32.84,97,100,5.97,RU,1677633617
364,poltavka,54.3663,71.7632,33.06,98,100,11.9,RU,1677633628
365,sestri levante,44.2732,9.3968,46.42,61,46,10.4,IT,1677633633
366,hamilton,39.1834,-84.5333,47.88,76,0,8.05,US,1677633639
367,tolaga bay,-38.3667,178.3,68.77,65,10,12.48,NZ,1677633644
